Year Month,Postal Code,Customer Class,Total Gallons
201204,78750,Residential,53394300
201204,78751,Irrigation - Multi-Family,322500
201204,78751,Irrigation - Residential,57500
201204,78751,Multi-Family,12844000
201204,78751,Residential,15219900
201204,78752,Irrigation - Multi-Family,63900
201204,78752,Multi-Family,19824100
201204,78752,Residential,12246600
201204,78753,Irrigation - Multi-Family,2333700
201204,78753,Irrigation - Residential,0
201204,78753,Multi-Family,50779500
201204,78753,Residential,42565400
201204,78754,Irrigation - Multi-Family,1253400
201204,78754,Irrigation - Residential,0
201204,78754,Multi-Family,11735400
201204,78754,Residential,21304500
201204,78756,Irrigation - Multi-Family,56300
201204,78756,Irrigation - Residential,7200
201204,78756,Multi-Family,5331700
201204,78756,Residential,10685500
201204,78757,Irrigation - Multi-Family,36500
201204,78757,Irrigation - Residential,59400
201204,78757,Multi-Family,13342800
201204,78757,Residential,32372200
201204,78758,Irrigation - Multi-Family,1733700
201204,78758,Irrigation - Residential,2500
201204,78758,Multi-Family,40331900
201204,78758,Residential,41654500
201204,78759,Irrigation - Multi-Family,552100
201204,78759,Irrigation - Residential,63600
201204,78759,Multi-Family,35997000
201204,78759,Residential,62728200
201205,,Irrigation - Residential,18400
201205,78613,Irrigation - Multi-Family,58000
201205,78613,Multi-Family,18500
201205,78617,Multi-Family,2785000
201205,78617,Residential,20998000
201205,78652,Irrigation - Residential,47200
201205,78652,Multi-Family,19400
201205,78652,Residential,908900
201205,78653,Multi-Family,109000
201205,78653,Residential,1255400
201205,78660,Irrigation - Residential,14200
201205,78660,Multi-Family,150300
201205,78660,Residential,8740500
201205,78701,Irrigation - Multi-Family,285900
201205,78701,Multi-Family,13290500
201205,78701,Residential,1404000
201205,78702,Irrigation - Multi-Family,711800
201205,78702,Irrigation - Residential,33500
201205,78702,Multi-Family,9412900
201205,78702,Residential,29305900
201205,78703,Irrigation - Multi-Family,542100
201205,78703,Irrigation - Residential,1701700
201205,78703,Multi-Family,13314200
201205,78703,Residential,65726400
201205,78704,Irrigation - Multi-Family,1991800
201205,78704,Irrigation - Residential,258400
201205,78704,Multi-Family,49476300
201205,78704,Residential,55223600
201205,78705,Irrigation - Multi-Family,459500
201205,78705,Irrigation - Residential,81700
201205,78705,Multi-Family,33128000
201205,78705,Residential,12350600
201205,78712,Residential,0
201205,78717,Irrigation - Multi-Family,3196400
201205,78717,Irrigation - Residential,19400
201205,78717,Multi-Family,7593800
201205,78717,Residential,43627000
201205,78719,Multi-Family,583300
201205,78719,Residential,1830400
201205,78721,Irrigation - Multi-Family,235000
201205,78721,Irrigation - Residential,8000
201205,78721,Multi-Family,4452300
201205,78721,Residential,16305000
201205,78722,Irrigation - Multi-Family,0
201205,78722,Multi-Family,2648400
201205,78722,Residential,10666800
201205,78723,Irrigation - Multi-Family,128000
201205,78723,Multi-Family,19932400
201205,78723,Residential,39484900
201205,78724,Irrigation - Multi-Family,35600
201205,78724,Irrigation - Residential,34300
201205,78724,Multi-Family,11091500
201205,78724,Residential,21482000
201205,78725,Multi-Family,244500
201205,78725,Residential,2378900
201205,78726,Irrigation - Multi-Family,3665800
201205,78726,Irrigation - Residential,85100
201205,78726,Multi-Family,11411400
201205,78726,Residential,26326100
201205,78727,Irrigation - Multi-Family,4427500
201205,78727,Irrigation - Residential,7900
201205,78727,Multi-Family,17831600
201205,78727,Residential,53285300
201205,78728,Irrigation - Multi-Family,1627700
201205,78728,Multi-Family,7424200
201205,78728,Residential,5035000
201205,78729,Irrigation - Multi-Family,2048900
201205,78729,Irrigation - Residential,27400
201205,78729,Multi-Family,22313400
201205,78729,Residential,28412500
201205,78730,Irrigation - Multi-Family,2667300
201205,78730,Irrigation - Residential,207800
201205,78730,Multi-Family,4550800
201205,78730,Residential,21572900
201205,78731,Irrigation - Multi-Family,973200
201205,78731,Irrigation - Residential,531000
201205,78731,Multi-Family,18230300
201205,78731,Residential,85101400
201205,78733,Residential,46200
201205,78735,Irrigation - Multi-Family,1693000
201205,78735,Multi-Family,10388000
201205,78735,Residential,29987900
201205,78736,Irrigation - Multi-Family,319500
201205,78736,Irrigation - Residential,19100
201205,78736,Multi-Family,2335200
201205,78736,Residential,17419200
201205,78737,Irrigation - Residential,5700
201205,78737,Residential,10770200
201205,78738,Residential,9700
201205,78739,Irrigation - Residential,0
201205,78739,Residential,60094000
201205,78741,Irrigation - Multi-Family,3260100
201205,78741,Irrigation - Residential,20900
201205,78741,Multi-Family,84210200
201205,78741,Residential,21334068
201205,78742,Multi-Family,362900
201205,78742,Residential,833100
201205,78744,Irrigation - Multi-Family,1091800
201205,78744,Irrigation - Residential,1400
201205,78744,Multi-Family,24781900
201205,78744,Residential,56060700
201205,78745,Irrigation - Multi-Family,3304900
201205,78745,Irrigation - Residential,70000
201205,78745,Multi-Family,35400900
201205,78745,Residential,90839000
201205,78746,Irrigation - Multi-Family,781200
201205,78746,Irrigation - Residential,426200
201205,78746,Multi-Family,14397900
201205,78746,Residential,47801000
201205,78747,Irrigation - Multi-Family,935600
201205,78747,Irrigation - Residential,190300
201205,78747,Multi-Family,7457600
201205,78747,Residential,30819400
201205,78748,Irrigation - Multi-Family,5547800
201205,78748,Irrigation - Residential,26000
201205,78748,Multi-Family,15304700
201205,78748,Residential,89712100
201205,78749,Irrigation - Multi-Family,4814900
201205,78749,Irrigation - Residential,7600
201205,78749,Multi-Family,14203200
201205,78749,Residential,87570400
201205,78750,Irrigation - Multi-Family,1857200
201205,78750,Irrigation - Residential,13700
201205,78750,Multi-Family,14796900
201205,78750,Residential,73596700
201205,78751,Irrigation - Multi-Family,321400
201205,78751,Irrigation - Residential,122400
201205,78751,Multi-Family,13964400
201205,78751,Residential,18150700
201205,78752,Irrigation - Multi-Family,79300
201205,78752,Multi-Family,20726200
201205,78752,Residential,14669300
201205,78753,Irrigation - Multi-Family,3554400
201205,78753,Irrigation - Residential,0
201205,78753,Multi-Family,55333300
201205,78753,Residential,48295200
201205,78754,Irrigation - Multi-Family,1537800
201205,78754,Irrigation - Residential,0
201205,78754,Multi-Family,14300300
201205,78754,Residential,24601800
201205,78756,Irrigation - Multi-Family,62000
201205,78756,Irrigation - Residential,89400
201205,78756,Multi-Family,5618200
201205,78756,Residential,14374700
201205,78757,Irrigation - Multi-Family,50500
201205,78757,Irrigation - Residential,77900
201205,78757,Multi-Family,14443600
201205,78757,Residential,43558400
201205,78758,Irrigation - Multi-Family,2827900
201205,78758,Irrigation - Residential,26100
201205,78758,Multi-Family,43387700
201205,78758,Residential,48565800
201205,78759,Irrigation - Multi-Family,1216900
201205,78759,Irrigation - Residential,107100
201205,78759,Multi-Family,39673000
201205,78759,Residential,90274500
201206,,Irrigation - Residential,20200
201206,78613,Irrigation - Multi-Family,78000
201206,78613,Multi-Family,23000
201206,78617,Multi-Family,3614600
201206,78617,Residential,22336500
201206,78652,Irrigation - Residential,53100
